looptime,ax,ay,az,gx,gy,gz,baro_temp,baro_pressure
453237,-0.16,-0.97,0.15,0.5,0.41,-0.68,30.23,96768.17
453277,-0.15,-0.97,0.16,0.56,0.54,-0.53,30.23,96766.66
453314,-0.15,-0.97,0.16,0.39,0.63,-0.53,30.23,96766.66
453352,-0.16,-0.97,0.16,0.45,0.67,-0.24,30.23,96766.71
453389,-0.15,-0.96,0.17,0.54,0.12,0.11,30.23,96767.18
453425,-0.15,-0.97,0.17,-0.14,-0.01,0.29,30.23,96767.18
453462,-0.15,-0.97,0.16,-0.3,-0.47,0.43,30.23,96767.55
453499,-0.16,-0.96,0.15,-0.42,-0.44,0.31,30.23,96767.55
453536,-0.17,-0.97,0.15,-0.16,-0.46,0.25,30.24,96767.58
453578,-0.16,-0.97,0.16,-0.02,-0.03,0.11,30.24,96767.58
453615,-0.16,-0.97,0.16,0.3,0.09,-0.29,30.24,96765.25
453652,-0.16,-0.97,0.16,0.56,0.18,-0.5,30.24,96765.92
453689,-0.16,-0.96,0.16,0.67,0.7,-0.55,30.24,96765.92
453727,-0.16,-0.97,0.16,0.71,0.49,-0.26,30.24,96765.95
453764,-0.16,-0.97,0.15,0.33,-2.3,-0.19,30.24,96765.95
453801,-0.14,-0.98,0.11,0.27,6.43,-0.62,30.24,96763.92
453864,-0.11,-0.97,0.2,1.05,4.72,-0.87,30.24,96765.95
453899,-0.13,-0.97,0.18,0.25,8.78,-0.91,30.24,96765.95
453943,-0.16,-0.97,0.12,-0.91,3.01,-0.44,30.24,96765.92
453980,-0.18,-0.97,0.13,-0.65,-1.79,-0.18,30.24,96767.75
454016,-0.18,-0.97,0.13,-0.37,-4.55,0.14,30.24,96767.75
454053,-0.16,-0.97,0.12,0.25,-4.04,0.39,30.24,96764.63
454090,-0.16,-0.96,0.13,0.45,-1.83,0.72,30.24,96764.63
454127,-0.17,-0.97,0.15,0.36,-1.22,0.37,30.24,96765.78
454163,-0.16,-0.97,0.15,0.61,-1.91,0.2,30.24,96765.78
454201,-0.16,-0.96,0.16,-0.17,-1.88,-0.07,30.24,96764.96
454237,-0.16,-0.97,0.18,-0.22,-1.24,-0.41,30.24,96764.96
454278,-0.15,-0.96,0.17,-0.54,0.32,-0.32,30.24,96763.97
454316,-0.15,-0.97,0.17,-0.51,0.86,-0.53,30.24,96765.63
454352,-0.16,-0.97,0.17,-0.25,0.75,0.03,30.24,96765.63
454388,-0.15,-0.96,0.15,-0.07,0.44,0.02,30.24,96763.46
454425,-0.16,-0.96,0.15,0.54,0.81,0.37,30.24,96763.46
454463,-0.16,-0.97,0.15,0.86,0.95,0.25,30.24,96767.12
454500,-0.16,-0.96,0.15,0.97,0.84,0.46,30.24,96767.12
454536,-0.16,-0.97,0.16,0.67,0.87,0.14,30.24,96765.95
454578,-0.17,-0.97,0.16,0.62,0.15,-0.27,30.24,96765.13
454615,-0.16,-0.97,0.17,0.03,-0.11,-0.45,30.24,96765.13
454650,-0.16,-0.96,0.16,-0.14,-0.46,-0.5,30.24,96768.28
454686,-0.15,-0.97,0.17,-0.49,-0.69,-0.56,30.24,96768.28
454724,-0.15,-0.97,0.16,-0.25,-0.37,-0.35,30.24,96767.46
454762,-0.15,-0.97,0.16,-0.07,-0.67,0.26,30.24,96764.63
454798,-0.15,-0.99,0.01,-2.94,9.74,0.08,30.24,96764.29
454834,-0.2,-0.95,0.05,-3.96,106.98,-0.41,30.24,96765.63
454872,-0.1,-0.97,0.16,2.82,52.7,-1.26,30.24,96765.63
454914,-0.18,-0.96,0.14,9.93,-36.2,-2.33,30.24,96766.08
454949,-0.26,-0.96,0.19,1.23,20.83,-2.09,30.24,96766.08
454987,-0.15,-0.96,0.24,-0.78,1.15,-2,30.24,96770.1
455025,-0.16,-0.97,0.18,-3.81,-7.91,-0.52,30.24,96766.78
455062,-0.18,-0.96,0.19,-6.6,1.53,0.6,30.24,96766.78
455098,-0.13,-0.96,0.12,-5.62,-11.65,1.48,30.24,96768.12
